Frame,Result,H,S,C,I,Boost,SPHY,Accepted,Sig,TS
173,000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000,0.9659,0.9526,0.9,0.0133,2.1595,91.5116,✅,28f17b66b39db6d7,2026-01-18T22:27:02.352257
174,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,0.9576,0.9918,0.9,0.0342,3.3014,92.311,✅,a7ea873ab4425696,2026-01-18T22:27:02.357909
177,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000,0.9905,0.9779,0.9,0.0126,2.1185,91.483,✅,e39d46f82767fdc7,2026-01-18T22:27:02.362913
176,000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9623,0.9799,0.9,0.0176,2.3869,91.6708,✅,7fba1d24f5ff007b,2026-01-18T22:27:02.362423
175,011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9652,0.9515,0.9,0.0136,2.1859,91.5301,✅,0f0ec52f6e4e21ba,2026-01-18T22:27:02.361753
178,111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9879,0.9915,0.9,0.0035,1.5403,91.0782,✅,41b01861b80a8b77,2026-01-18T22:27:02.370834
180,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000,0.9817,0.9536,0.9,0.0281,3.0702,92.1491,✅,5b22e4c5f8389ed3,2026-01-18T22:27:02.373531
179,000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000,0.9857,0.9915,0.9,0.0058,1.6797,91.1758,✅,287c28c21510640c,2026-01-18T22:27:02.372972
181,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,1.0,0.9547,0.9,0.0453,4.1324,92.8926,✅,c252de564b0b698b,2026-01-18T22:27:02.374012
182,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111,0.9623,0.9697,0.9,0.0074,1.7774,91.2442,✅,897884d7d2fea5dd,2026-01-18T22:27:02.383945
