Frame,Result,H,S,C,I,Boost,SPHY,Accepted,Sig,TS
2,000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9549,0.9981,0.9,0.0431,1.1797,90.8258,✅,6b4fe422e063e2b6,2026-01-18T22:22:08.881510
3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000,0.9842,0.9549,0.9,0.0294,1.2338,90.8636,✅,22c85f7f1dd75209,2026-01-18T22:22:08.881471
4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000,0.9839,0.9561,0.9,0.0278,1.2327,90.8629,✅,af2e4908a28672e2,2026-01-18T22:22:08.882221
1,000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9642,0.9573,0.9,0.0068,1.2507,90.8755,✅,d156ae74fa791c96,2026-01-18T22:22:08.881489
5,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111,0.9893,0.9872,0.9,0.0021,1.1859,90.8301,✅,a2a24c0ab31db9f4,2026-01-18T22:22:08.892421
7,111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9867,0.9814,0.9,0.0053,1.1809,90.8266,✅,a491cf0dca023805,2026-01-18T22:22:08.894179
8,000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000,0.9518,0.9924,0.9,0.0406,1.2173,90.8521,✅,28cf2d0ace4fb0e0,2026-01-18T22:22:08.894902
6,000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000,0.9598,0.9636,0.9,0.0038,1.2044,90.8431,✅,cf10d108854fa506,2026-01-18T22:22:08.894150
9,111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9829,0.9835,0.9,0.0006,1.1584,90.8109,✅,4187c0d25542618b,2026-01-18T22:22:08.900465
10,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111,0.9935,0.9519,0.9,0.0416,1.2802,90.8961,✅,1714d6312ab57b5b,2026-01-18T22:22:08.900474
11,111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9514,0.9723,0.9,0.0209,1.2118,90.8482,✅,778aacafb8acf17a,2026-01-18T22:22:08.902534
12,111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111,0.9973,0.9834,0.9,0.0139,1.1862,90.8303,✅,f9468f3ff6f863ad,2026-01-18T22:22:08.903610
